REF_DATE,GEO,DGUID,Labour force characteristics,North American Industry Classification System (NAICS),Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A000011124,Employment,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Persons,249,thousands,3,v2363386,1.2.5.1.1,49,,,,1
2020,Canada,2016A000011124,Employment,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Persons,249,thousands,3,v2363386,1.2.5.1.1,52.3,,,,1
2021,Canada,2016A000011124,Employment,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Persons,249,thousands,3,v2363386,1.2.5.1.1,50.7,,,,1
2017,Canada,2016A000011124,Employment,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Persons,249,thousands,3,v2363387,1.2.6.1.1,17.4,,,,1
2018,Canada,2016A000011124,Employment,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Persons,249,thousands,3,v2363387,1.2.6.1.1,16.8,,,,1
2019,Canada,2016A000011124,Employment,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Persons,249,thousands,3,v2363387,1.2.6.1.1,17.3,,,,1
2020,Canada,2016A000011124,Employment,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Persons,249,thousands,3,v2363387,1.2.6.1.1,18.3,,,,1
2021,Canada,2016A000011124,Employment,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Persons,249,thousands,3,v2363387,1.2.6.1.1,17,,,,1
2017,Canada,2016A000011124,Employment,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363388,1.2.7.1.1,258.8,,,,1
2018,Canada,2016A000011124,Employment,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363388,1.2.7.1.1,270.6,,,,1
2019,Canada,2016A000011124,Employment,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363388,1.2.7.1.1,266.5,,,,1
2020,Canada,2016A000011124,Employment,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363388,1.2.7.1.1,236,,,,1
2021,Canada,2016A000011124,Employment,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Persons,249,thousands,3,v2363388,1.2.7.1.1,256.9,,,,1
2017,Canada,2016A000011124,Employment,Utilities [22],Both sexes,15 years and over,Persons,249,thousands,3,v2363389,1.2.8.1.1,132.1,,,,1
2018,Canada,2016A000011124,Employment,Utilities [22],Both sexes,15 years and over,Persons,249,thousands,3,v2363389,1.2.8.1.1,145.2,,,,1
2019,Canada,2016A000011124,Employment,Utilities [22],Both sexes,15 years and over,Persons,249,thousands,3,v2363389,1.2.8.1.1,140.3,,,,1
2020,Canada,2016A000011124,Employment,Utilities [22],Both sexes,15 years and over,Persons,249,thousands,3,v2363389,1.2.8.1.1,138,,,,1
2021,Canada,2016A000011124,Employment,Utilities [22],Both sexes,15 years and over,Persons,249,thousands,3,v2363389,1.2.8.1.1,140.8,,,,1
2017,Canada,2016A000011124,Employment,Construction [23],Both sexes,15 years and over,Persons,249,thousands,3,v2363390,1.2.9.1.1,1407.9,,,,1
2018,Canada,2016A000011124,Employment,Construction [23],Both sexes,15 years and over,Persons,249,thousands,3,v2363390,1.2.9.1.1,1442.9,,,,1
2019,Canada,2016A000011124,Employment,Construction [23],Both sexes,15 years and over,Persons,249,thousands,3,v2363390,1.2.9.1.1,1469.4,,,,1
2020,Canada,2016A000011124,Employment,Construction [23],Both sexes,15 years and over,Persons,249,thousands,3,v2363390,1.2.9.1.1,1373.8,,,,1
2021,Canada,2016A000011124,Employment,Construction [23],Both sexes,15 years and over,Persons,249,thousands,3,v2363390,1.2.9.1.1,1432.3,,,,1
2017,Canada,2016A000011124,Employment,Manufacturing [31-33],Both sexes,15 years and over,Persons,249,thousands,3,v2363391,1.2.10.1.1,1727.8,,,,1
2018,Canada,2016A000011124,Employment,Manufacturing [31-33],Both sexes,15 years and over,Persons,249,thousands,3,v2363391,1.2.10.1.1,1736.3,,,,1
2019,Canada,2016A000011124,Employment,Manufacturing [31-33],Both sexes,15 years and over,Persons,249,thousands,3,v2363391,1.2.10.1.1,1740.2,,,,1
2020,Canada,2016A000011124,Employment,Manufacturing [31-33],Both sexes,15 years and over,Persons,249,thousands,3,v2363391,1.2.10.1.1,1672.9,,,,1
2021,Canada,2016A000011124,Employment,Manufacturing [31-33],Both sexes,15 years and over,Persons,249,thousands,3,v2363391,1.2.10.1.1,1735.1,,,,1
2017,Canada,2016A000011124,Employment,"Durables [321, 327, 331-339]",Both sexes,15 years and over,Persons,249,thousands,3,v2363392,1.2.11.1.1,1046.3,,,,1
2018,Canada,2016A000011124,Employment,"Durables [321, 327, 331-339]",Both sexes,15 years and over,Persons,249,thousands,3,v2363392,1.2.11.1.1,1048.5,,,,1
2019,Canada,2016A000011124,Employment,"Durables [321, 327, 331-339]",Both sexes,15 years and over,Persons,249,thousands,3,v2363392,1.2.11.1.1,1047.8,,,,1
2020,Canada,2016A000011124,Employment,"Durables [321, 327, 331-339]",Both sexes,15 years and over,Persons,249,thousands,3,v2363392,1.2.11.1.1,997.3,,,,1
2021,Canada,2016A000011124,Employment,"Durables [321, 327, 331-339]",Both sexes,15 years and over,Persons,249,thousands,3,v2363392,1.2.11.1.1,1028.3,,,,1
2017,Canada,2016A000011124,Employment,"Non-durables [311-316, 322-326]",Both sexes,15 years and over,Persons,249,thousands,3,v2363393,1.2.12.1.1,681.5,,,,1
2018,Canada,2016A000011124,Employment,"Non-durables [311-316, 322-326]",Both sexes,15 years and over,Persons,249,thousands,3,v2363393,1.2.12.1.1,687.8,,,,1
2019,Canada,2016A000011124,Employment,"Non-durables [311-316, 322-326]",Both sexes,15 years and over,Persons,249,thousands,3,v2363393,1.2.12.1.1,692.4,,,,1
2020,Canada,2016A000011124,Employment,"Non-durables [311-316, 322-326]",Both sexes,15 years and over,Persons,249,thousands,3,v2363393,1.2.12.1.1,675.6,,,,1
2021,Canada,2016A000011124,Employment,"Non-durables [311-316, 322-326]",Both sexes,15 years and over,Persons,249,thousands,3,v2363393,1.2.12.1.1,706.9,,,,1
2017,Canada,2016A000011124,Employment,Services-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363409,1.2.13.1.1,14401.6,,,,1
2018,Canada,2016A000011124,Employment,Services-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363409,1.2.13.1.1,14618.2,,,,1
2019,Canada,2016A000011124,Employment,Services-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363409,1.2.13.1.1,15010.7,,,,1
2020,Canada,2016A000011124,Employment,Services-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363409,1.2.13.1.1,14228.5,,,,1
2021,Canada,2016A000011124,Employment,Services-producing sector,Both sexes,15 years and over,Persons,249,thousands,3,v2363409,1.2.13.1.1,14980.9,,,,1
2017,Canada,2016A000011124,Employment,"Wholesale and retail trade [41, 44-45]",Both sexes,15 years and over,Persons,249,thousands,3,v2363408,1.2.14.1.1,2794.1,,,,1
2018,Canada,2016A000011124,Employment,"Wholesale and retail trade [41, 44-45]",Both sexes,15 years and over,Persons,249,thousands,3,v2363408,1.2.14.1.1,2785.1,,,,1
2019,Canada,2016A000011124,Employment,"Wholesale and retail trade [41, 44-45]",Both sexes,15 years and over,Persons,249,thousands,3,v2363408,1.2.14.1.1,2824.7,,,,1
2020,Canada,2016A000011124,Employment,"Wholesale and retail trade [41, 44-45]",Both sexes,15 years and over,Persons,249,thousands,3,v2363408,1.2.14.1.1,2684,,,,1
2021,Canada,2016A000011124,Employment,"Wholesale and retail trade [41, 44-45]",Both sexes,15 years and over,Persons,249,thousands,3,v2363408,1.2.14.1.1,2819.6,,,,1
2017,Canada,2016A000011124,Employment,Wholesale trade [41],Both sexes,15 years and over,Persons,249,thousands,3,v2363394,1.2.15.1.1,663.2,,,,1
2018,Canada,2016A000011124,Employment,Wholesale trade [41],Both sexes,15 years and over,Persons,249,thousands,3,v2363394,1.2.15.1.1,646.7,,,,1
2019,Canada,2016A000011124,Employment,Wholesale trade [41],Both sexes,15 years and over,Persons,249,thousands,3,v2363394,1.2.15.1.1,627,,,,1
2020,Canada,2016A000011124,Employment,Wholesale trade [41],Both sexes,15 years and over,Persons,249,thousands,3,v2363394,1.2.15.1.1,613.6,,,,1
2021,Canada,2016A000011124,Employment,Wholesale trade [41],Both sexes,15 years and over,Persons,249,thousands,3,v2363394,1.2.15.1.1,633.6,,,,1
2017,Canada,2016A000011124,Employment,Retail trade [44-45],Both sexes,15 years and over,Persons,249,thousands,3,v2363395,1.2.16.1.1,2131,,,,1
2018,Canada,2016A000011124,Employment,Retail trade [44-45],Both sexes,15 years and over,Persons,249,thousands,3,v2363395,1.2.16.1.1,2138.4,,,,1
2019,Canada,2016A000011124,Employment,Retail trade [44-45],Both sexes,15 years and over,Persons,249,thousands,3,v2363395,1.2.16.1.1,2197.7,,,,1
2020,Canada,2016A000011124,Employment,Retail trade [44-45],Both sexes,15 years and over,Persons,249,thousands,3,v2363395,1.2.16.1.1,2070.4,,,,1
2021,Canada,2016A000011124,Employment,Retail trade [44-45],Both sexes,15 years and over,Persons,249,thousands,3,v2363395,1.2.16.1.1,2186,,,,1
2017,Canada,2016A000011124,Employment,Transportation and warehousing [48-49],Both sexes,15 years and over,Persons,249,thousands,3,v2363396,1.2.17.1.1,936.1,,,,1
2018,Canada,2016A000011124,Employment,Transportation and warehousing [48-49],Both sexes,15 years and over,Persons,249,thousands,3,v2363396,1.2.17.1.1,989,,,,1
2019,Canada,2016A000011124,Employment,Transportation and warehousing [48-49],Both sexes,15 years and over,Persons,249,thousands,3,v2363396,1.2.17.1.1,1037.1,,,,1
2020,Canada,2016A000011124,Employment,Transportation and warehousing [48-49],Both sexes,15 years and over,Persons,249,thousands,3,v2363396,1.2.17.1.1,950.2,,,,1
2021,Canada,2016A000011124,Employment,Transportation and warehousing [48-49],Both sexes,15 years and over,Persons,249,thousands,3,v2363396,1.2.17.1.1,989.9,,,,1
2017,Canada,2016A000011124,Employment,"Finance, insurance, real estate, rental and leasing [52, 53]",Both sexes,15 years and over,Persons,249,thousands,3,v2363397,1.2.18.1.1,1161.9,,,,1
2018,Canada,2016A000011124,Employment,"Finance, insurance, real estate, rental and leasing [52, 53]",Both sexes,15 years and over,Persons,249,thousands,3,v2363397,1.2.18.1.1,1169,,,,1
2019,Canada,2016A000011124,Employment,"Finance, insurance, real estate, rental and leasing [52, 53]",Both sexes,15 years and over,Persons,249,thousands,3,v2363397,1.2.18.1.1,1202.8,,,,1
2020,Canada,2016A000011124,Employment,"Finance, insurance, real estate, rental and leasing [52, 53]",Both sexes,15 years and over,Persons,249,thousands,3,v2363397,1.2.18.1.1,1233.9,,,,1
2021,Canada,2016A000011124,Employment,"Finance, insurance, real estate, rental and leasing [52, 53]",Both sexes,15 years and over,Persons,249,thousands,3,v2363397,1.2.18.1.1,1299.9,,,,1
2017,Canada,2016A000011124,Employment,Finance and insurance [52],Both sexes,15 years and over,Persons,249,thousands,3,v2363398,1.2.19.1.1,824.7,,,,1
2018,Canada,2016A000011124,Employment,Finance and insurance [52],Both sexes,15 years and over,Persons,249,thousands,3,v2363398,1.2.19.1.1,826.6,,,,1
2019,Canada,2016A000011124,Employment,Finance and insurance [52],Both sexes,15 years and over,Persons,249,thousands,3,v2363398,1.2.19.1.1,843.6,,,,1
2020,Canada,2016A000011124,Employment,Finance and insurance [52],Both sexes,15 years and over,Persons,249,thousands,3,v2363398,1.2.19.1.1,904.4,,,,1
2021,Canada,2016A000011124,Employment,Finance and insurance [52],Both sexes,15 years and over,Persons,249,thousands,3,v2363398,1.2.19.1.1,946.6,,,,1
2017,Canada,2016A000011124,Employment,Real estate and rental and leasing [53],Both sexes,15 years and over,Persons,249,thousands,3,v2363399,1.2.20.1.1,337.2,,,,1
2018,Canada,2016A000011124,Employment,Real estate and rental and leasing [53],Both sexes,15 years and over,Persons,249,thousands,3,v2363399,1.2.20.1.1,342.4,,,,1
2019,Canada,2016A000011124,Employment,Real estate and rental and leasing [53],Both sexes,15 years and over,Persons,249,thousands,3,v2363399,1.2.20.1.1,359.2,,,,1
2020,Canada,2016A000011124,Employment,Real estate and rental and leasing [53],Both sexes,15 years and over,Persons,249,thousands,3,v2363399,1.2.20.1.1,329.4,,,,1
2021,Canada,2016A000011124,Employment,Real estate and rental and leasing [53],Both sexes,15 years and over,Persons,249,thousands,3,v2363399,1.2.20.1.1,353.3,,,,1
2017,Canada,2016A000011124,Employment,"Professional, scientific and technical services [54]",Both sexes,15 years and over,Persons,249,thousands,3,v2363400,1.2.21.1.1,1429.7,,,,1
2018,Canada,2016A000011124,Employment,"Professional, scientific and technical services [54]",Both sexes,15 years and over,Persons,249,thousands,3,v2363400,1.2.21.1.1,1450.6,,,,1
2019,Canada,2016A000011124,Employment,"Professional, scientific and technical services [54]",Both sexes,15 years and over,Persons,249,thousands,3,v2363400,1.2.21.1.1,1537.3,,,,1
2020,Canada,2016A000011124,Employment,"Professional, scientific and technical services [54]",Both sexes,15 years and over,Persons,249,thousands,3,v2363400,1.2.21.1.1,1528.4,,,,1
2021,Canada,2016A000011124,Employment,"Professional, scientific and technical services [54]",Both sexes,15 years and over,Persons,249,thousands,3,v2363400,1.2.21.1.1,1673.9,,,,1
2017,Canada,2016A000011124,Employment,"Business, building and other support services [55, 56]",Both sexes,15 years and over,Persons,249,thousands,3,v2363401,1.2.22.1.1,748.2,,,,1
2018,Canada,2016A000011124,Employment,"Business, building and other support services [55, 56]",Both sexes,15 years and over,Persons,249,thousands,3,v2363401,1.2.22.1.1,764.9,,,,1
2019,Canada,2016A000011124,Employment,"Business, building and other support services [55, 56]",Both sexes,15 years and over,Persons,249,thousands,3,v2363401,1.2.22.1.1,768.1,,,,1
2020,Canada,2016A000011124,Employment,"Business, building and other support services [55, 56]",Both sexes,15 years and over,Persons,249,thousands,3,v2363401,1.2.22.1.1,702.8,,,,1
2021,Canada,2016A000011124,Employment,"Business, building and other support services [55, 56]",Both sexes,15 years and over,Persons,249,thousands,3,v2363401,1.2.22.1.1,707.7,,,,1
2017,Canada,2016A000011124,Employment,Educational services [61],Both sexes,15 years and over,Persons,249,thousands,3,v2363402,1.2.23.1.1,1267.2,,,,1
2018,Canada,2016A000011124,Employment,Educational services [61],Both sexes,15 years and over,Persons,249,thousands,3,v2363402,1.2.23.1.1,1311.7,,,,1
2019,Canada,2016A000011124,Employment,Educational services [61],Both sexes,15 years and over,Persons,249,thousands,3,v2363402,1.2.23.1.1,1358.9,,,,1
2020,Canada,2016A000011124,Employment,Educational services [61],Both sexes,15 years and over,Persons,249,thousands,3,v2363402,1.2.23.1.1,1337.5,,,,1
2021,Canada,2016A000011124,Employment,Educational services [61],Both sexes,15 years and over,Persons,249,thousands,3,v2363402,1.2.23.1.1,1452.1,,,,1
2017,Canada,2016A000011124,Employment,Health care and social assistance [62],Both sexes,15 years and over,Persons,249,thousands,3,v2363403,1.2.24.1.1,2366.1,,,,1
2018,Canada,2016A000011124,Employment,Health care and social assistance [62],Both sexes,15 years and over,Persons,249,thousands,3,v2363403,1.2.24.1.1,2396,,,,1
2019,Canada,2016A000011124,Employment,Health care and social assistance [62],Both sexes,15 years and over,Persons,249,thousands,3,v2363403,1.2.24.1.1,2496.2,,,,1
2020,Canada,2016A000011124,Employment,Health care and social assistance [62],Both sexes,15 years and over,Persons,249,thousands,3,v2363403,1.2.24.1.1,2438.3,,,,1
2021,Canada,2016A000011124,Employment,Health care and social assistance [62],Both sexes,15 years and over,Persons,249,thousands,3,v2363403,1.2.24.1.1,2558.6,,,,1
2017,Canada,2016A000011124,Employment,"Information, culture and recreation [51, 71]",Both sexes,15 years and over,Persons,249,thousands,3,v2363404,1.2.25.1.1,773.9,,,,1
2018,Canada,2016A000011124,Employment,"Information, culture and recreation [51, 71]",Both sexes,15 years and over,Persons,249,thousands,3,v2363404,1.2.25.1.1,769.7,,,,1
2019,Canada,2016A000011124,Employment,"Information, culture and recreation [51, 71]",Both sexes,15 years and over,Persons,249,thousands,3,v2363404,1.2.25.1.1,762.4,,,,1
2020,Canada,2016A000011124,Employment,"Information, culture and recreation [51, 71]",Both sexes,15 years and over,Persons,249,thousands,3,v2363404,1.2.25.1.1,681.5,,,,1
2021,Canada,2016A000011124,Employment,"Information, culture and recreation [51, 71]",Both sexes,15 years and over,Persons,249,thousands,3,v2363404,1.2.25.1.1,721.8,,,,1
2017,Canada,2016A000011124,Employment,Accommodation and food services [72],Both sexes,15 years and over,Persons,249,thousands,3,v2363405,1.2.26.1.1,1201.9,,,,1
2018,Canada,2016A000011124,Employment,Accommodation and food services [72],Both sexes,15 years and over,Persons,249,thousands,3,v2363405,1.2.26.1.1,1232.1,,,,1
2019,Canada,2016A000011124,Employment,Accommodation and food services [72],Both sexes,15 years and over,Persons,249,thousands,3,v2363405,1.2.26.1.1,1209.8,,,,1
2020,Canada,2016A000011124,Employment,Accommodation and food services [72],Both sexes,15 years and over,Persons,249,thousands,3,v2363405,1.2.26.1.1,941.9,,,,1
2021,Canada,2016A000011124,Employment,Accommodation and food services [72],Both sexes,15 years and over,Persons,249,thousands,3,v2363405,1.2.26.1.1,957.7,,,,1
2017,Canada,2016A000011124,Employment,Other services (except public administration) [81],Both sexes,15 years and over,Persons,249,thousands,3,v2363406,1.2.27.1.1,767.8,,,,1
2018,Canada,2016A000011124,Employment,Other services (except public administration) [81],Both sexes,15 years and over,Persons,249,thousands,3,v2363406,1.2.27.1.1,795.3,,,,1
2019,Canada,2016A000011124,Employment,Other services (except public administration) [81],Both sexes,15 years and over,Persons,249,thousands,3,v2363406,1.2.27.1.1,812.5,,,,1
2020,Canada,2016A000011124,Employment,Other services (except public administration) [81],Both sexes,15 years and over,Persons,249,thousands,3,v2363406,1.2.27.1.1,737.3,,,,1
2021,Canada,2016A000011124,Employment,Other services (except public administration) [81],Both sexes,15 years and over,Persons,249,thousands,3,v2363406,1.2.27.1.1,734.1,,,,1
2017,Canada,2016A000011124,Employment,Public administration [91],Both sexes,15 years and over,Persons,249,thousands,3,v2363407,1.2.28.1.1,954.7,,,,1
2018,Canada,2016A000011124,Employment,Public administration [91],Both sexes,15 years and over,Persons,249,thousands,3,v2363407,1.2.28.1.1,954.9,,,,1
2019,Canada,2016A000011124,Employment,Public administration [91],Both sexes,15 years and over,Persons,249,thousands,3,v2363407,1.2.28.1.1,1000.7,,,,1
2020,Canada,2016A000011124,Employment,Public administration [91],Both sexes,15 years and over,Persons,249,thousands,3,v2363407,1.2.28.1.1,992.5,,,,1
2021,Canada,2016A000011124,Employment,Public administration [91],Both sexes,15 years and over,Persons,249,thousands,3,v2363407,1.2.28.1.1,1065.5,,,,1
2017,Canada,2016A000011124,Unemployment rate,Goods-producing sector,Both sexes,15 years and over,Percentage,242,units,0,v2363496,1.6.2.1.1,5.6,,,,1
2018,Canada,2016A000011124,Unemployment rate,Goods-producing sector,Both sexes,15 years and over,Percentage,242,units,0,v2363496,1.6.2.1.1,5,,,,1
2019,Canada,2016A000011124,Unemployment rate,Goods-producing sector,Both sexes,15 years and over,Percentage,242,units,0,v2363496,1.6.2.1.1,5.1,,,,1
2020,Canada,2016A000011124,Unemployment rate,Goods-producing sector,Both sexes,15 years and over,Percentage,242,units,0,v2363496,1.6.2.1.1,8,,,,1
2021,Canada,2016A000011124,Unemployment rate,Goods-producing sector,Both sexes,15 years and over,Percentage,242,units,0,v2363496,1.6.2.1.1,5.1,,,,1
2017,Canada,2016A000011124,Unemployment rate,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Percentage,242,units,0,v2363497,1.6.3.1.1,4.4,,,,1
2018,Canada,2016A000011124,Unemployment rate,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Percentage,242,units,0,v2363497,1.6.3.1.1,4,,,,1
2019,Canada,2016A000011124,Unemployment rate,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Percentage,242,units,0,v2363497,1.6.3.1.1,4.4,,,,1
2020,Canada,2016A000011124,Unemployment rate,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Percentage,242,units,0,v2363497,1.6.3.1.1,5.1,,,,1
2021,Canada,2016A000011124,Unemployment rate,"Agriculture [111-112, 1100, 1151-1152]",Both sexes,15 years and over,Percentage,242,units,0,v2363497,1.6.3.1.1,4.7,,,,1
2017,Canada,2016A000011124,Unemployment rate,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363498,1.6.4.1.1,8,,,,1
2018,Canada,2016A000011124,Unemployment rate,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363498,1.6.4.1.1,6.9,,,,1
2019,Canada,2016A000011124,Unemployment rate,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363498,1.6.4.1.1,7.4,,,,1
2020,Canada,2016A000011124,Unemployment rate,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363498,1.6.4.1.1,10.9,,,,1
2021,Canada,2016A000011124,Unemployment rate,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363498,1.6.4.1.1,7.2,,,,1
2017,Canada,2016A000011124,Unemployment rate,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Percentage,242,units,0,v2363499,1.6.5.1.1,11.2,,,,1
2018,Canada,2016A000011124,Unemployment rate,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Percentage,242,units,0,v2363499,1.6.5.1.1,10.9,,,,1
2019,Canada,2016A000011124,Unemployment rate,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Percentage,242,units,0,v2363499,1.6.5.1.1,11.3,,,,1
2020,Canada,2016A000011124,Unemployment rate,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Percentage,242,units,0,v2363499,1.6.5.1.1,10.6,,,,1
2021,Canada,2016A000011124,Unemployment rate,"Forestry and logging and support activities for forestry [113, 1153]",Both sexes,15 years and over,Percentage,242,units,0,v2363499,1.6.5.1.1,9.1,,,,1
2017,Canada,2016A000011124,Unemployment rate,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Percentage,242,units,0,v2363500,1.6.6.1.1,27.3,,,,1
2018,Canada,2016A000011124,Unemployment rate,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Percentage,242,units,0,v2363500,1.6.6.1.1,22.8,,,,1
2019,Canada,2016A000011124,Unemployment rate,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Percentage,242,units,0,v2363500,1.6.6.1.1,28.2,,,,1
2020,Canada,2016A000011124,Unemployment rate,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Percentage,242,units,0,v2363500,1.6.6.1.1,22.5,,,,1
2021,Canada,2016A000011124,Unemployment rate,"Fishing, hunting and trapping [114]",Both sexes,15 years and over,Percentage,242,units,0,v2363500,1.6.6.1.1,25.4,,,,1
2017,Canada,2016A000011124,Unemployment rate,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363501,1.6.7.1.1,5.6,,,,1
2018,Canada,2016A000011124,Unemployment rate,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363501,1.6.7.1.1,4.8,,,,1
2019,Canada,2016A000011124,Unemployment rate,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363501,1.6.7.1.1,4.9,,,,1
2020,Canada,2016A000011124,Unemployment rate,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363501,1.6.7.1.1,9.9,,,,1
2021,Canada,2016A000011124,Unemployment rate,"Mining, quarrying, and oil and gas extraction [21, 2100]",Both sexes,15 years and over,Percentage,242,units,0,v2363501,1.6.7.1.1,5.2,,,,1
