_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
89,C R MARCHANT MIDDLE SCHOOL,422,87.7,1.4,89.1,1.4,43.70172148,-79.5129334
90,C W JEFFERYS COLLEGIATE INSTITUTE,776,85.4,1,91.1,1,43.75767646,-79.50009059
91,CALC SECONDARY SCHOOL,201,66.7,0,76.6,0,43.67491086,-79.36005757
92,CALICO PUBLIC SCHOOL,147,76.2,3.4,78.2,3.4,43.73790618,-79.50359204
93,CAMERON PUBLIC SCHOOL,135,95.6,2.2,95.6,2.2,43.7543607,-79.42125155
94,CANADIAN MARTYRS CATHOLIC SCHOOL,196,94.4,0,95.9,0,43.69819992,-79.31933864
95,CARDINAL CARTER ACADEMY FOR THE ARTS,808,86.3,2.6,95.9,2.7,43.76409501,-79.40976158
96,CARDINAL LEGER CATHOLIC SCHOOL,193,96.9,0.5,97.9,0.5,43.7930958,-79.17570791
97,CARLETON VILLAGE JUNIOR AND SENIOR PUBLIC SCHOOL,180,83.3,2.2,86.1,2.2,43.67235281,-79.4600288
98,CASSANDRA PUBLIC SCHOOL,137,95.6,0.7,95.6,0.7,43.74842501,-79.32890148
99,CEDAR DRIVE JUNIOR PUBLIC SCHOOL,343,96.2,0.6,95.9,0.6,43.74585281,-79.21505094
100,CEDARBRAE COLLEGIATE INSTITUTE,1101,86.1,1.2,94.6,1.1,43.7563409,-79.22592486
101,CEDARBROOK PUBLIC SCHOOL,367,91.8,1.4,94.3,1.4,43.74729339,-79.23019275
102,CEDARVALE COMMUNITY SCHOOL,256,95.3,2.3,96.5,2.3,43.69613028,-79.43032756
103,CENTENNIAL ROAD JUNIOR PUBLIC SCHOOL,138,94.2,2.9,96.4,2.9,43.78696228,-79.15002381
104,CENTRAL ETOBICOKE HIGH SCHOOL,104,81.7,7.7,91.3,7.7,43.67901856,-79.55548893
105,CENTRAL TECHNICAL SCHOOL,959,83.1,2.7,90.1,2.5,43.66270411,-79.40980856
106,CENTRAL TORONTO ACADEMY,587,78.4,3.4,84.2,3.4,43.65797846,-79.42199861
107,CHALKFARM PUBLIC SCHOOL,109,86.2,1.8,87.2,1.8,43.72710643,-79.51439274
108,CHAMINADE COLLEGE SCHOOL,922,92.7,1,98.2,1,43.71009096,-79.49605946
109,CHARLES E WEBSTER PUBLIC SCHOOL,263,91.3,0.8,90.9,0.8,43.69343444,-79.47509952
110,CHARLES G FRASER JUNIOR PUBLIC SCHOOL,107,89.7,2.8,93.5,2.8,43.64853008,-79.40948363
111,CHARLES GORDON SENIOR PUBLIC SCHOOL,330,89.1,2.1,90.3,2.1,43.7464559,-79.2609587
112,CHARLES H BEST MIDDLE SCHOOL,356,87.6,1.7,89.3,1.7,43.76744525,-79.45863024
113,CHARLOTTETOWN JUNIOR PUBLIC SCHOOL,210,90,5.7,91.9,5.7,43.78207023,-79.14220896
114,CHARTLAND JUNIOR PUBLIC SCHOOL,91,100,0,100,0,43.79961824,-79.2779223
115,CHEROKEE PUBLIC SCHOOL,88,92,4.5,90.9,4.5,43.79876275,-79.33861474
116,CHESTER ELEMENTARY SCHOOL,218,91.7,2.3,94,2.3,43.68760238,-79.35170998
117,CHESTER LE JUNIOR PUBLIC SCHOOL,70,87.1,7.1,90,7.1,43.79858771,-79.33109534
118,CHIEF DAN GEORGE PUBLIC SCHOOL,201,91,1,94,1,43.80272231,-79.16383466
119,CHILDREN'S GARDEN JUNIOR SCHOOL,59,52.5,8.5,64.4,8.5,43.712485,-79.372484
120,CHINE DRIVE PUBLIC SCHOOL,92,93.5,5.4,93.5,5.4,43.70998259,-79.24179689
121,CHURCH STREET JUNIOR PUBLIC SCHOOL,145,91,1.4,90.3,1.4,43.66360843,-79.37917817
122,CHURCHILL HEIGHTS PUBLIC SCHOOL,278,96,0.7,95.7,0.7,43.77298911,-79.22439265
123,CHURCHILL PUBLIC SCHOOL,165,90.3,2.4,93.3,2.4,43.7707536,-79.42703616
124,CITY SCHOOL,104,77.9,8.7,89.4,8.7,43.63574882,-79.39718759
125,CITY VIEW ALTERNATIVE SENIOR SCHOOL,54,77.8,20.4,77.8,20.4,43.64852424,-79.43672217
126,CLAIREVILLE JUNIOR SCHOOL,119,92.4,0.8,91.6,0.8,43.7478422,-79.59822775
127,CLAIRLEA PUBLIC SCHOOL,359,93.6,1.9,95.3,1.9,43.71658998,-79.29618668
128,CLAUDE WATSON SCHOOL FOR THE ARTS,300,95.3,3,96.7,3,43.7653996,-79.40921782
129,CLIFFSIDE PUBLIC SCHOOL,134,98.5,0,97.8,0,43.70488211,-79.25053604
130,CLIFFWOOD PUBLIC SCHOOL,142,97.9,1.4,97.2,1.4,43.80629209,-79.3600686
131,CLINTON STREET JUNIOR PUBLIC SCHOOL,234,88,3.4,91.5,3,43.65764607,-79.41405757
132,COLLEGE FRANCAIS ELEMENTAIRE,115,71.3,3.5,76.5,3.5,43.66248824,-79.37790696
133,COLLEGE FRANCAIS SECONDAIRE,165,86.1,4.8,89.1,4.8,43.66248824,-79.37790696
134,CONTACT ALTERNATIVE SCHOOL,70,67.1,1.4,95.7,1.4,43.65376573,-79.3903939
135,CORDELLA JUNIOR PUBLIC SCHOOL,64,92.2,3.1,93.8,3.1,43.67907009,-79.48758544
136,CORNELL JUNIOR PUBLIC SCHOOL,375,97.3,0,97.9,0,43.75939258,-79.21803822
137,CORVETTE JUNIOR PUBLIC SCHOOL,273,92.3,0.7,94.9,0.7,43.72648511,-79.26215973
138,COSBURN MIDDLE SCHOOL,642,91.9,1.9,94.4,1.9,43.69375152,-79.33092844
139,COTTINGHAM JUNIOR PUBLIC SCHOOL,79,93.7,2.5,96.2,2.5,43.68037944,-79.39560901
140,COURCELETTE PUBLIC SCHOOL,188,89.4,6.4,91.5,6.4,43.67931883,-79.27856592
141,CRESCENT TOWN ELEMENTARY SCHOOL,180,95.6,0.6,93.9,0.6,43.69683675,-79.29246651
142,CRESTHAVEN PUBLIC SCHOOL,151,96,3.3,94.7,3.3,43.79756474,-79.36435747
143,CRESTVIEW PUBLIC SCHOOL,124,97.6,0,96,0,43.78843218,-79.3598466
144,CUMMER VALLEY MIDDLE SCHOOL,425,92.9,0.2,92,0.2,43.78876462,-79.40095036
145,D A MORRISON MIDDLE SCHOOL,426,86.4,2.1,91.8,2.3,43.69539646,-79.31169244
146,DA VINCI SCHOOL,34,55.9,44.1,55.9,44.1,43.65895304,-79.40190985
147,DALLINGTON PUBLIC SCHOOL,201,89.6,2.5,91,2.5,43.77712813,-79.35475535
148,DANFORTH COLLEGIATE INSTITUTE AND TECHNICAL SCHOOL,982,88.9,2.1,95.8,2.1,43.68283873,-79.33408956
149,DANFORTH GARDENS PUBLIC SCHOOL,313,92.3,1,92.3,1,43.70845556,-79.27097739
150,DANTE ALIGHIERI ACADEMY,841,86.7,0.8,92.3,0.8,43.71007742,-79.45836983
151,D'ARCY MCGEE CATHOLIC SCHOOL,178,97.8,0,97.8,0,43.69225563,-79.44291158
152,DAVID AND MARY THOMSON COLLEGIATE INSTITUTE,1003,87.9,1.2,93.2,1.2,43.75360656,-79.25957913
153,DAVID HORNELL JUNIOR SCHOOL,106,88.7,4.7,87.7,4.7,43.61933328,-79.48889366
154,DAVID LEWIS PUBLIC SCHOOL,302,91.4,0,92.7,0,43.80919671,-79.31788606
155,DAVISVILLE JUNIOR PUBLIC SCHOOL,228,88.2,2.2,89.9,2.2,43.690769,-79.436797
156,DAYSTROM PUBLIC SCHOOL,186,94.1,0,95.7,0,43.74794693,-79.5469633
157,DEER PARK JUNIOR AND SENIOR PUBLIC SCHOOL,355,85.9,3.1,87.9,3.1,43.68965195,-79.39155638
158,DELPHI SECONDARY ALTERNATIVE SCHOOL,93,83.9,3.2,94.6,3.2,43.80000769,-79.27843623
159,DELTA SENIOR ALTERNATIVE SCHOOL,60,88.3,10,88.3,10,43.65868159,-79.41884372
160,DENLOW PUBLIC SCHOOL,225,96,3.6,96,3.1,43.74583949,-79.36422773
161,DENNIS AVENUE COMMUNITY SCHOOL,47,87.2,4.3,89.4,4.3,43.68441954,-79.48728632
162,DERRYDOWN PUBLIC SCHOOL,167,95.8,1.8,94.6,1.8,43.75868993,-79.49371018
163,DEWSON STREET JUNIOR PUBLIC SCHOOL,243,88.5,6.2,90.9,6.2,43.65654907,-79.42458469
164,DIEFENBAKER ELEMENTARY SCHOOL,199,92,4.5,93.5,4.5,43.69505953,-79.33214394
165,DIXON GROVE JUNIOR MIDDLE SCHOOL,576,89.6,0.3,91.3,0.3,43.68470917,-79.55595464
166,DON MILLS COLLEGIATE INSTITUTE,971,88.6,1.9,95,1.9,43.73595929,-79.33927715
167,DON MILLS MIDDLE SCHOOL,410,90.2,2,93.2,2,43.73685277,-79.3404328
168,DON VALLEY JUNIOR HIGH SCHOOL,367,94,0.8,95.6,0.8,43.78953291,-79.35496656
169,DONVIEW MIDDLE HEALTH AND WELLNESS ACADEMY,356,83.7,1.7,87.4,1.7,43.76418772,-79.33143831
170,DONWOOD PARK JUNIOR PUBLIC SCHOOL,375,95.5,1.9,95.2,1.9,43.75697831,-79.26236511
171,DORSET PARK PUBLIC SCHOOL,151,94.7,0.7,94,0.7,43.75021495,-79.27986197
172,DOVERCOURT PUBLIC SCHOOL,248,89.5,2.8,91.5,2.8,43.66673561,-79.43577895
173,DOWNSVIEW PUBLIC SCHOOL,95,90.5,2.1,91.6,2.1,43.73111384,-79.4824358
174,DOWNSVIEW SECONDARY SCHOOL,583,79.9,1.7,87,1.7,43.73039575,-79.47965761
175,DOWNTOWN ALTERNATIVE SCHOOL,52,92.3,7.7,90.4,7.7,43.64773613,-79.37041565
176,DOWNTOWN VOCAL MUSIC ACADEMY OF TORONTO,47,87.2,6.4,89.4,6.4,43.65122054,-79.40263666
177,DR MARION HILLIARD SENIOR PUBLIC SCHOOL,274,93.1,1.1,93.4,1.1,43.80368608,-79.22482183
178,DR NORMAN BETHUNE COLLEGIATE INSTITUTE,969,91,0.3,97.3,0.3,43.81216214,-79.31942841
179,DREWRY SECONDARY SCHOOL,69,85.5,1.4,91.3,1.4,43.78698147,-79.42121369
180,DRIFTWOOD PUBLIC SCHOOL,190,92.6,0,93.7,0,43.76255571,-79.51513769
181,DUBLIN HEIGHTS ELEMENTARY AND MIDDLE SCHOOL,563,84.2,3,86.9,3,43.74909669,-79.44772492
182,DUKE OF CONNAUGHT JUNIOR AND SENIOR PUBLIC SCHOOL,633,96.5,3,96.5,3,43.66639455,-79.322043
183,DUNDAS JUNIOR PUBLIC SCHOOL,150,93.3,2.7,92,2.7,43.66207775,-79.34868633
184,DUNLACE PUBLIC SCHOOL,161,95,2.5,95.7,2.5,43.76245942,-79.37035733
185,EARL BEATTY JUNIOR AND SENIOR PUBLIC SCHOOL,212,91,4.2,92.5,4.2,43.68601803,-79.32156563
186,EARL GREY SENIOR PUBLIC SCHOOL,453,92.9,2.4,95.8,2.4,43.67680529,-79.33992929
187,EARL HAIG PUBLIC SCHOOL,295,93.6,3.1,95.3,3.1,43.68133145,-79.32125047
188,EARL HAIG SECONDARY SCHOOL,1873,89.2,1.2,95.4,1.2,43.76953933,-79.4073635
189,EAST ALTERNATIVE SCHOOL OF TORONTO,62,93.5,3.2,96.8,3.2,43.67180637,-79.33847625
190,EAST YORK ALTERNATIVE SECONDARY SCHOOL,114,81.6,0,97.4,0,43.69499136,-79.32529564
191,EAST YORK COLLEGIATE INSTITUTE,1040,88.6,2.5,94.5,2.4,43.69450873,-79.32735334
192,EASTDALE COLLEGIATE INSTITUTE,116,81.9,0.9,93.1,0.9,43.66592657,-79.34881892
193,EASTVIEW PUBLIC SCHOOL,201,77.1,0,83.1,0,43.75906266,-79.19133529
194,EATONVILLE JUNIOR SCHOOL,100,97,0,98,0,43.63830795,-79.56700242
195,ECOLE ELEMENTAIRE CHARLES-SAURIOL,147,92.5,0,93.2,0,43.66767367,-79.45534963
196,ECOLE ELEMENTAIRE ETIENNE-BRULE,148,85.1,1.4,87.2,1.4,43.75221224,-79.37159325
197,ECOLE ELEMENTAIRE FELIX-LECLERC,104,86.5,5.8,87.5,5.8,43.68969312,-79.56144563
198,ECOLE ELEMENTAIRE GABRIELLE-ROY,135,91.1,3.7,90.4,3.7,43.656787,-79.372213
199,ECOLE ELEMENTAIRE JEANNE-LAJOIE,201,90.5,1,93,1,43.73449677,-79.32149457
200,ECOLE ELEMENTAIRE LA MOSAIQUE,212,90.6,6.1,92,5.7,43.68733045,-79.33053499
201,ECOLE ELEMENTAIRE LAURE-RIESE,124,89.5,2.4,87.9,2.4,43.82246261,-79.27742207
202,ECOLE ELEMENTAIRE MATHIEU-DA-COSTAI,82,85.4,0,91.5,0,43.71782794,-79.4755347
203,ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR,42,88.1,0,76.2,0,43.59021886,-79.54378099
204,ECOLE ELEMENTAIRE PAUL-DEMERS,46,63,0,71.7,0,43.79195184,-79.36734039
205,ECOLE ELEMENTAIRE PIERRE-ELLIOTT-TRUDEAU,168,94.6,3,93.5,3,43.65199104,-79.41409749
206,ECOLE ELEMENTAIRE TORONTO OUEST,164,83.5,3,87.8,3,43.65238363,-79.44123542
207,ECOLE SECONDAIRE ETIENNE-BRULE,280,87.1,2.9,93.9,2.9,43.75221224,-79.37159325
208,ECOLE SECONDAIRE TORONTO OUEST,169,87,3,92.9,3,43.65238363,-79.44123542
209,EDGEWOOD PUBLIC SCHOOL,102,96.1,0,96.1,0,43.76630546,-79.26581203
210,EEC DU SACRE-COEUR-TORONTO,70,97.1,0,97.1,0,43.66825375,-79.42226809
211,EEC GEORGES-ETIENNE-CARTIER,223,97.8,0.9,98.7,0.9,43.67790389,-79.31947311
212,EEC NOTRE-DAME-DE-GRACE - TORONTO,110,92.7,2.7,93.6,2.7,43.67946894,-79.55953947
213,EEC SAINTE-MADELEINE,148,95.3,0.7,95.3,0.7,43.76196879,-79.32271315
214,EEC SAINTE-MARGUERITE-D'YOUVILLE,222,95.5,3.2,93.7,3.2,43.63442792,-79.50446469
215,EEC SAINT-JEAN-DE-LALANDE,74,95.9,1.4,93.2,1.4,43.80475002,-79.26408826
216,EEC SAINT-MICHEL-TORONTO,78,92.3,2.6,94.9,2.6,43.77745328,-79.15700499
217,EEC SAINT-NOEL-CHABANEL-TORONTO,83,94,0,95.2,0,43.73677565,-79.56076094
218,EGLINTON JUNIOR PUBLIC SCHOOL,207,88.9,1,87,1,43.70790375,-79.39084683
219,EIC MONSEIGNEUR-DE-CHARBONNEL,127,89.8,1.6,92.1,1.6,43.78698147,-79.42121369
220,EIC PERE-PHILIPPE-LAMARCHE,112,92,0,94.6,0,43.73888853,-79.24070576
221,EIC SAINT-FRERE-ANDRE,110,88.2,4.5,93.6,4.5,43.65238363,-79.44123542
222,ELIA MIDDLE SCHOOL,297,89.9,0.3,93.3,0.3,43.75379932,-79.49845831
223,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL,175,90.9,5.7,93.7,5.7,43.73815196,-79.20603487
224,ELKHORN PUBLIC SCHOOL,180,89.4,3.3,92.8,3.3,43.77121539,-79.38006244
225,ELLESMERE-STATTON PUBLIC SCHOOL,422,95.7,0.7,95.5,0.7,43.76362361,-79.287572
226,ELMBANK JUNIOR MIDDLE ACADEMY,237,83.1,2.1,84,2.1,43.7365019,-79.59004707
227,ELMLEA JUNIOR SCHOOL,176,87.5,2.8,86.9,2.8,43.71562668,-79.55057615
228,EMERY COLLEGIATE INSTITUTE,554,84.5,1.1,90.4,1.1,43.74872271,-79.53955698
229,EMILY CARR PUBLIC SCHOOL,210,95.7,1.4,95.2,1.4,43.80502239,-79.20693586
230,EPIPHANY OF OUR LORD CATHOLIC ACADEMY,115,87,0,89.6,0,43.7989581,-79.32894025
231,EQUINOX HOLISTIC ALTERNATIVE SCHOOL,112,77.7,22.3,77.7,22.3,43.67387327,-79.32307649
232,ERNEST PUBLIC SCHOOL,55,98.2,1.8,96.4,1.8,43.79141547,-79.33738257
233,ESC MONSEIGNEUR-DE-CHARBONNEL,199,83.4,2.5,92.5,2.5,43.78698147,-79.42121369
234,ESC PERE-PHILIPPE-LAMARCHE,77,90.9,0,96.1,0,43.73888853,-79.24070576
235,ESC SAINT-FRERE-ANDRE,185,83.8,2.7,92.4,2.7,43.65238363,-79.44123542
236,ESSEX JUNIOR AND SENIOR PUBLIC SCHOOL,176,88.1,4,90.9,4,43.66825375,-79.42226809
237,ETIENNE BRULE JUNIOR SCHOOL,76,97.4,2.6,96.1,2.6,43.63561874,-79.48968446
238,ETOBICOKE COLLEGIATE INSTITUTE,1004,88.4,2,95.7,2,43.6500842,-79.52229621
239,ETOBICOKE SCHOOL OF THE ARTS,939,82.5,4.8,93.1,4.8,43.63073221,-79.50414852
240,ETOBICOKE YEAR ROUND ALTERNATIVE CENTRE,36,83.3,2.8,97.2,2.8,43.63385785,-79.55127611
241,F H MILLER JUNIOR PUBLIC SCHOOL,61,93.4,1.6,93.4,1.6,43.68400577,-79.45889809
242,FAIRBANK JUNIOR AND MIDDLE SCHOOL,217,92.2,2.8,93.1,2.8,43.69435391,-79.44941775
243,FAIRBANK MEMORIAL COMMUNITY SCHOOL,53,94.3,0,96.2,0,43.69170324,-79.4554057
244,FAIRGLEN JUNIOR PUBLIC SCHOOL,215,98.1,0,98.6,0,43.78493638,-79.32223819
245,FAIRMOUNT PUBLIC SCHOOL,281,88.3,1.1,92.2,1.1,43.71975809,-79.23089418
246,FATHER HENRY CARR CATHOLIC SECONDARY SCHOOL,917,86.8,0.8,93.5,0.8,43.73584248,-79.59237755
